data,cd,grupo,indicador,valor
02/06/2025,RS,10. Coletas em Pulmão,% Coletas em Pulmão,
02/06/2025,RS,11. Rupturas,Total de Rupturas,
02/06/2025,RS,11. Rupturas,# Mezanino,
02/06/2025,RS,11. Rupturas,% Mezanino,
02/06/2025,RS,11. Rupturas,# DUN,
02/06/2025,RS,11. Rupturas,% DUN,
02/06/2025,RS,11. Rupturas,# Painel,
02/06/2025,RS,11. Rupturas,% Painel de Integração,
02/06/2025,RS,12. Ocorrências no Cliente,Total de Ocorrências,
02/06/2025,RS,12. Ocorrências no Cliente,Falta de Item,
02/06/2025,RS,12. Ocorrências no Cliente,Troca de Item,
02/06/2025,RS,12. Ocorrências no Cliente,Avaria de Item,
02/06/2025,RS,12. Ocorrências no Cliente,Sobra de Item,
02/06/2025,RS,12. Ocorrências no Cliente,Ocorrência Média últimos 30 dias,
02/06/2025,RS,13. Custos de Avarias e Perdas,Perdas Totais,
02/06/2025,RS,13. Custos de Avarias e Perdas,R$ Avaria Interna,
02/06/2025,RS,13. Custos de Avarias e Perdas,R$ Extravios,
03/06/2025,SBC,1. Performance de Embarque,% Performance de embarque (Data planejada),
03/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),
03/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),
03/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),
03/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,
03/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),
03/06/2025,SBC,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos do dia,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Atraso Transferências,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Total Atrasos,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,
03/06/2025,SBC,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,
03/06/2025,SBC,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,
03/06/2025,SBC,5. Retorno para Reembarque,Retoro para Reembarque,
03/06/2025,SBC,5. Retorno para Reembarque,Exclusão de Romaneio,
03/06/2025,SBC,5. Retorno para Reembarque,Total Atrasos,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - até 1 dia,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 2 a 5 dias,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 6 a 10 dias,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 11 a 15 dias,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - acima de 15 dias,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 16 a 20 dias,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - 21 a 30 dias,
03/06/2025,SBC,5. Retorno para Reembarque,Pedidos em Atraso - acima de 30 dias,
03/06/2025,SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Previstas PCP,
03/06/2025,SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Planejadas PCP,
03/06/2025,SBC,6. Linhas Planejadas PCP (Linha sem quebra na Prod),% Atingimento,
