cd,grupo,indicador,meta,direcao,ativo,observacao
RS,11. Rupturas,# Mezanino,,Menor ou igual é melhor,Sim,
RS,11. Rupturas,% Mezanino,,Maior ou igual é melhor,Sim,
RS,11. Rupturas,# DUN,,Menor ou igual é melhor,Sim,
RS,11. Rupturas,% DUN,,Maior ou igual é melhor,Sim,
RS,11. Rupturas,# Painel,,Menor ou igual é melhor,Sim,
RS,11. Rupturas,% Painel de Integração,,Maior ou igual é melhor,Sim,
RS,12. Ocorrências no Cliente,Total de Ocorrências,,Menor ou igual é melhor,Sim,
RS,12. Ocorrências no Cliente,Falta de Item,,Menor ou igual é melhor,Sim,
RS,12. Ocorrências no Cliente,Troca de Item,,Menor ou igual é melhor,Sim,
RS,12. Ocorrências no Cliente,Avaria de Item,,Menor ou igual é melhor,Sim,
RS,12. Ocorrências no Cliente,Sobra de Item,,Menor ou igual é melhor,Sim,
RS,12. Ocorrências no Cliente,Ocorrência Média últimos 30 dias,,Menor ou igual é melhor,Sim,
RS,13. Custos de Avarias e Perdas,Perdas Totais,,Menor ou igual é melhor,Sim,
RS,13. Custos de Avarias e Perdas,R$ Avaria Interna,,Menor ou igual é melhor,Sim,
RS,13. Custos de Avarias e Perdas,R$ Extravios,,Menor ou igual é melhor,Sim,
